,LATITUDE,LONGITUDE
146,30.25707,-97.46703
147,30.46447,-97.46732
148,30.33886,-97.4676
149,30.36045297,-97.46771534
150,30.33864,-97.46774
151,30.46309,-97.46775
152,30.41872672,-97.46787884
153,30.41874,-97.46791
154,30.41874,-97.46791
155,30.33803,-97.46828
156,30.46381,-97.46841
157,30.46473,-97.46842
158,30.463,-97.46848
159,30.46357,-97.46859
160,30.45747,-97.46897
161,30.46444816,-97.46923406
162,30.27215948,-97.46999678
163,30.27296,-97.47004
164,30.27225,-97.47007
165,30.32541,-97.47056
166,30.26961,-97.47062
167,30.42006,-97.47068
168,30.26895,-97.4707
169,30.26604453,-97.47092409
170,30.27682,-97.47142
171,30.29464,-97.47142
172,30.46228864,-97.47217916
173,30.36178,-97.47221
174,30.46154693,-97.47221995
175,30.37179,-97.47226
176,30.2715,-97.47254
177,30.33714,-97.47261
178,30.35117,-97.47266
179,30.3309,-97.47281
180,30.27276,-97.47298
181,30.26915,-97.47321
182,30.29513,-97.47325
183,30.27167,-97.47326
184,30.30229,-97.47343
185,30.26774,-97.47358
186,30.24365,-97.47426
187,30.29612,-97.47463
188,30.29601,-97.47466
189,30.45839889,-97.47533076
190,30.24113,-97.47573
191,30.279,-97.47576
192,30.23696458,-97.47591861
193,30.44491,-97.47617
194,30.29687,-97.47627
195,30.36384,-97.47654
196,30.32452,-97.47657
197,30.27808475,-97.4770208
198,30.3645,-97.47716
199,30.23872,-97.4773
200,30.23873,-97.47743
201,30.35165,-97.47753
202,30.24045,-97.47767
203,30.27742,-97.47778
204,30.27736,-97.4779
205,30.37473,-97.47816
206,30.24574,-97.4783
207,30.46013,-97.47854
208,30.2981,-97.47917
209,30.27646,-97.47947
210,30.27652,-97.47989
211,30.35341,-97.48006
212,30.28079,-97.48167
213,30.28088,-97.48175
214,30.43485,-97.48179
215,30.29901,-97.48182
216,30.25536,-97.48217
217,30.23117481,-97.48301222
218,30.29796981,-97.48343139
219,30.2792,-97.4837
220,30.31331,-97.48382
221,30.31354259,-97.48399259
222,30.35110171,-97.48406511
223,30.3511,-97.48407
224,30.3511,-97.48407
225,30.25134,-97.4842
226,30.45989,-97.48423
227,30.27792,-97.48503
228,30.28141225,-97.48504323
229,30.28178,-97.48529
230,30.29733886,-97.48545279
231,30.31068,-97.48553
232,30.30963,-97.48583
233,30.22611,-97.48607
234,30.39227,-97.48633
235,30.2786,-97.48675
236,30.27973,-97.48681
237,30.22472,-97.48694
238,30.35029,-97.48757
239,30.27892,-97.48766
240,30.28028,-97.48777
241,30.46052662,-97.48814818
242,30.27847369,-97.48846016
243,30.30675648,-97.48854613
244,30.4606673,-97.48906679
245,30.39821,-97.48917
